what,when,with,where,why
"Ph.D. in Wildlife, Aquatic, and Wildlands Science and Management",Jan. 2019 - Aug. 2022,Texas Tech University,"Lubbock, TX","Dissertation Title: ""Leveraging NAIP, LiDAR and Sentinel data for accurate multiclass mapping of heterogenous grassland landscapes in Texas."""
,,,,"Committee members: Drs. Carlos Portillo Quintero (adviser; Dissertation chair), Samantha Kahl, Robert Cox,  Nancy McIntyre, and Xiaopeng Song"
M.Sc. in Biology,Jan. 2014 - Aug. 2016,Texas A&M University,"Kingsville, TX","Committee members: Drs. Weimin Xi (adviser; Thesis chair), Christopher Edgar, and Sandra Rideout-Hanzak"
B.Sc. in Forestry (GIS elective),Mar. 2005 - Jan. 2010,"Institute of Foresty, Tribhuwan  University","Kritipur, Kathmandu",
