what,when,with,where,why
Gusest Editor,2020- present,Novel Approaches in Tropical Forests Mapping and Monitoring - Time for Operationalization,"Remote Sensing, MDPI",Ongoing
Reviewer,2022- Present,"Remote Sensing, Land, Forestry (MDPI)", MDPI,Reviewed 17 manuscripts
Reviewer,2016- Present,Journal of Forestry Research (JFR),Springer,Reviewed seven manuscripts
Reviewer,2020-Present,Forestry Chronicles,Canadian Institute of Forestry,Reviewed two manuscripts
Reviewer,2016,Ecosystem Services,Elsevier,Reviewed one manuscript
