what,when,with,where,why
Certificate in GIS,Jun. 2016 - Present,TAMUK,"Kingsville, TX",\href{https://drive.google.com/file/d/1U1vICjHetu45MkNUQ7TTyv5qF0rzPiMj/view?usp=sharing}{See certificate.}
FME Desktop 2016 Basic,Jan. 2017 - Present,FME Software,,\href{https://drive.google.com/file/d/1ZDpOjoCa3CRcwldiMI4w_q9eMwUNfXQT/view?usp=sharing}{See certificate.}
Geographic Information Systems (GIS) Specialization,Dec. 2016 - Present,UC DAVIS ,Coursera,\href{https://drive.google.com/drive/folders/1CXngno7WF6xPy9SfbpHnus5oVJF1Afrf?usp=sharing}{See certificate.}
,,,,
