what,when,with,where,why
Instructor,July. 2020 - Aug.2020,Aerial Photo Interpretation (5404),Texas Tech University,Co-taught with Dr. Carlos Portillo as a part of teaching practicum 
Teaching Assistant,Aug. 2014 - Jul. 2016,GEOL 5312; GEOL 5313,TAMU-Kingsville,"Duing spring, summer and fall semester"
Upward Bound  Math And Science  Students,Jun. 2016 - Jul. 2016,Math and Science in GIS,TAMU-Kingsville,
